Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",1206,2,47uF,C96123
C2,1206,1,22uF,C12891
J1,PinSocket_1x18_P2.54mm_Vertical,1,FireBeetle 2,C22373904 
J10,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C Sensor 2,C160404
J11,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,SPI Sensor 1,C160405
J12,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,SPI Sensor 2,C160405
J13,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Analog 1,C160403
J14,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Analog 2,C160403
J15,PinSocket_1x09_P2.54mm_Vertical,1,Thermocouple 2,C22373895
J16,PinSocket_1x09_P2.54mm_Vertical,1,Thermocouple 3,C22373895
J17,PinSocket_1x09_P2.54mm_Vertical,1,Thermocouple 4,C22373895
J18,PinSocket_1x10_P2.54mm_Vertical,1,TMC2209,C22373896
"J19, J21",PinSocket_1x06_P2.54mm_Vertical,2,RS232 LV,C22373892
J2,PinSocket_1x14_P2.54mm_Vertical,1,Firebeetle 2,C22373900
"J20, J22",PinSocket_1x06_P2.54mm_Vertical,2,RS232 HV,C22373892
"J24, J29",PinSocket_1x09_P2.54mm_Vertical,2,DE9 2,C22373895
J25,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C Sensor 3,C160404
J26,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C Sensor 4,C160404
J27,PinSocket_1x13_P2.54mm_Vertical,1,Expander L,C22373899
J28,PinSocket_1x13_P2.54mm_Vertical,1,Expander R,C22373899
J5,PinSocket_1x04_P2.54mm_Vertical,1,TPS62827,C22373890
J6,PinSocket_1x04_P2.54mm_Vertical,1,MPM3610,C22373890
J7,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,Power,C89120
J8,PinSocket_1x09_P2.54mm_Vertical,1,Thermocouple 1,C22373895
J9,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C Sensor 1,C160404
SW1,SW_SPDT_Shouhan_MSK12C02,1,5V,C431540
SW2,SW_SPDT_Shouhan_MSK12C02,1,3.3V,C431540
